t,power
0.0,0
1.0,0
2.0,0
3.0,0
4.0,0
5.0,0
6.0,0
7.0,0
8.0,0
9.0,0
10.0,0
11.0,0
12.0,0
13.0,0
14.0,0
15.0,0
16.0,0
17.0,0
18.0,0
19.0,0
20.0,50
21.0,12
22.0,4
23.0,4
24.0,8
25.0,8
26.0,9
27.0,5
28.0,5
29.0,0
30.0,0
31.0,0
32.0,0
33.0,0
34.0,0
35.0,0
36.0,0
37.0,0
38.0,0
39.0,0
40.0,122
41.0,145
42.0,123
43.0,93
44.0,75
45.0,92
46.0,87
47.0,52
48.0,43
49.0,35
50.0,18
51.0,13
52.0,0
53.0,0
54.0,0
55.0,0
56.0,0
57.0,0
58.0,0
59.0,0
60.0,0
61.0,26
62.0,0
63.0,0
64.0,0
65.0,0
66.0,0
67.0,0
68.0,0
69.0,0
70.0,0
71.0,0
72.0,0
73.0,0
74.0,0
75.0,0
76.0,0
77.0,0
78.0,0
79.0,0
80.0,0
81.0,0
82.0,0
83.0,0
84.0,0
85.0,0
86.0,0
87.0,0
88.0,0
89.0,0
90.0,0
91.0,0
92.0,0
93.0,0
94.0,0
95.0,0
96.0,0
97.0,0
98.0,0
99.0,0
100.0,0
101.0,0
102.0,0
103.0,0
104.0,0
105.0,0
106.0,0
107.0,0
108.0,0
109.0,0
110.0,0
111.0,87
112.0,201
113.0,166
114.0,133
115.0,129
116.0,85
117.0,54
118.0,111
119.0,122
120.0,129
121.0,125
122.0,103
123.0,111
124.0,94
125.0,54
126.0,41
127.0,24
128.0,43
129.0,65
130.0,70
131.0,74
132.0,101
133.0,107
134.0,60
135.0,5
136.0,1
137.0,0
138.0,0
139.0,0
140.0,0
141.0,4
142.0,13
143.0,134
144.0,253
145.0,251
146.0,221
147.0,203
148.0,202
149.0,212
150.0,203
151.0,223
152.0,227
153.0,175
154.0,145
155.0,123
156.0,152
157.0,144
158.0,152
159.0,145
160.0,148
161.0,178
162.0,173
163.0,175
164.0,164
165.0,155
166.0,168
167.0,197
168.0,194
169.0,178
170.0,191
171.0,220
172.0,217
173.0,292
174.0,230
175.0,202
176.0,146
177.0,79
178.0,44
179.0,23
180.0,128
181.0,200
182.0,116
183.0,96
184.0,141
185.0,109
186.0,90
187.0,81
188.0,71
189.0,44
190.0,100
191.0,80
192.0,65
193.0,48
194.0,44
195.0,45
196.0,3
197.0,0
198.0,0
199.0,0
200.0,0
201.0,0
202.0,0
203.0,0
204.0,0
205.0,0
206.0,0
207.0,0
208.0,0
209.0,0
210.0,0
211.0,117
212.0,145
213.0,100
214.0,83
215.0,78
216.0,77
217.0,50
218.0,18
219.0,12
220.0,0
221.0,0
222.0,0
223.0,0
224.0,0
225.0,0
226.0,0
227.0,0
228.0,0
229.0,0
230.0,0
231.0,0
232.0,0
233.0,0
234.0,0
235.0,0
236.0,92
237.0,86
238.0,117
239.0,76
240.0,78
241.0,49
242.0,27
243.0,8
244.0,3
245.0,5
246.0,0
247.0,0
248.0,0
249.0,0
250.0,0
251.0,0
252.0,0
253.0,0
254.0,0
255.0,0
256.0,0
257.0,0
258.0,0
259.0,0
260.0,0
261.0,0
262.0,0
263.0,0
264.0,0
265.0,0
266.0,0
267.0,0
268.0,0
269.0,0
270.0,0
271.0,13
272.0,145
273.0,149
274.0,180
275.0,176
276.0,162
277.0,120
278.0,73
279.0,25
280.0,0
281.0,0
282.0,0
283.0,0
284.0,4
285.0,114
286.0,219
287.0,235
288.0,217
289.0,193
290.0,214
291.0,184
292.0,159
293.0,190
294.0,215
295.0,167
296.0,51
297.0,55
298.0,82
299.0,84
300.0,69
301.0,55
302.0,63
303.0,70
304.0,66
305.0,79
306.0,95
307.0,81
308.0,74
309.0,86
310.0,97
311.0,87
312.0,79
313.0,70
314.0,54
315.0,34
316.0,1
317.0,12
318.0,13
319.0,112
320.0,96
321.0,59
322.0,50
323.0,57
324.0,74
325.0,99
326.0,94
327.0,109
328.0,158
329.0,182
330.0,140
331.0,117
332.0,103
333.0,82
334.0,98
335.0,78
336.0,65
337.0,47
338.0,55
339.0,57
340.0,50
341.0,47
342.0,55
343.0,75
344.0,81
345.0,89
346.0,62
347.0,51
348.0,38
349.0,32
350.0,1
351.0,1
352.0,0
353.0,0
354.0,0
355.0,0
356.0,0
357.0,0
358.0,0
359.0,46
360.0,146
361.0,116
362.0,97
363.0,39
364.0,4
365.0,4
366.0,41
367.0,179
368.0,176
369.0,183
370.0,212
371.0,223
372.0,150
373.0,121
374.0,104
375.0,101
376.0,97
377.0,112
378.0,114
379.0,97
380.0,82
381.0,78
382.0,71
383.0,64
384.0,29
385.0,11
386.0,4
387.0,18
388.0,52
389.0,74
390.0,80
391.0,120
392.0,138
393.0,134
394.0,156
395.0,174
396.0,206
397.0,192
398.0,189
399.0,183
400.0,111
401.0,54
402.0,44
403.0,29
404.0,13
405.0,32
406.0,42
407.0,76
408.0,134
409.0,150
410.0,162
411.0,183
412.0,173
413.0,109
414.0,73
415.0,40
416.0,17
417.0,9
418.0,4
419.0,0
420.0,0
421.0,0
422.0,0
423.0,0
424.0,0
425.0,0
426.0,0
427.0,0
428.0,0
429.0,0
430.0,0
431.0,0
432.0,0
433.0,0
434.0,0
435.0,0
436.0,0
437.0,0
438.0,0
439.0,0
440.0,0
441.0,0
442.0,0
443.0,0
444.0,0
445.0,0
446.0,0
447.0,0
448.0,0
449.0,0
450.0,0
451.0,0
452.0,0
453.0,0
454.0,0
455.0,0
456.0,0
457.0,23
458.0,62
459.0,0
460.0,0
461.0,0
462.0,0
463.0,0
464.0,67
465.0,283
466.0,336
467.0,372
468.0,409
469.0,440
470.0,425
471.0,342
472.0,320
473.0,316
474.0,283
475.0,287
476.0,290
477.0,291
478.0,305
479.0,294
480.0,290
481.0,296
482.0,304
483.0,272
484.0,249
485.0,235
486.0,213
487.0,273
488.0,171
489.0,140
490.0,150
491.0,131
492.0,147
493.0,105
494.0,147
495.0,137
496.0,131
497.0,118
498.0,122
499.0,125
500.0,144
501.0,138
502.0,128
503.0,113
504.0,95
505.0,100
506.0,85
507.0,61
508.0,89
509.0,25
510.0,24
511.0,17
512.0,121
513.0,139
514.0,179
515.0,168
516.0,169
517.0,170
518.0,164
519.0,67
520.0,20
521.0,20
522.0,18
523.0,0
524.0,0
525.0,0
526.0,0
527.0,0
528.0,0
529.0,0
530.0,0
531.0,0
532.0,58
533.0,18
534.0,39
535.0,56
536.0,39
537.0,0
538.0,0
539.0,0
540.0,22
541.0,0
542.0,0
543.0,0
544.0,0
545.0,0
546.0,0
547.0,0
548.0,0
549.0,0
550.0,0
551.0,0
552.0,0
553.0,0
554.0,0
555.0,0
556.0,0
557.0,0
558.0,0
559.0,0
560.0,0
561.0,0
562.0,0
563.0,0
564.0,0
565.0,0
566.0,0
567.0,0
568.0,0
569.0,0
570.0,0
571.0,0
