t,power
0.0,0
1.0,108
2.0,108
3.0,128
4.0,167
5.0,167
6.0,168
7.0,169
8.0,169
9.0,169
10.0,161
11.0,157
12.0,157
13.0,158
14.0,164
15.0,164
16.0,164
17.0,161
18.0,159
19.0,159
20.0,161
21.0,162
22.0,162
23.0,162
24.0,164
25.0,164
26.0,164
27.0,173
28.0,177
29.0,177
30.0,174
31.0,171
32.0,171
33.0,171
34.0,164
35.0,164
36.0,164
37.0,171
38.0,173
39.0,173
40.0,176
41.0,178
42.0,178
43.0,178
44.0,179
45.0,179
46.0,179
47.0,170
48.0,150
49.0,150
50.0,159
51.0,172
52.0,172
53.0,172
54.0,177
55.0,178
56.0,178
57.0,178
58.0,179
59.0,179
60.0,179
61.0,181
62.0,181
63.0,181
64.0,184
65.0,185
66.0,185
67.0,185
68.0,188
69.0,188
70.0,188
71.0,173
72.0,173
73.0,177
74.0,184
75.0,184
76.0,184
77.0,188
78.0,189
79.0,189
80.0,187
81.0,186
82.0,186
83.0,193
84.0,194
85.0,194
86.0,193
87.0,192
88.0,192
89.0,191
90.0,191
91.0,191
92.0,191
93.0,192
94.0,192
95.0,192
96.0,192
97.0,191
98.0,191
99.0,191
100.0,200
101.0,202
102.0,202
103.0,199
104.0,198
105.0,198
106.0,197
107.0,196
108.0,196
109.0,196
110.0,203
111.0,204
112.0,204
113.0,207
114.0,208
115.0,208
116.0,207
117.0,203
118.0,203
119.0,204
120.0,206
121.0,203
122.0,203
123.0,203
124.0,229
125.0,231
126.0,231
127.0,220
128.0,203
129.0,203
130.0,200
131.0,198
132.0,198
133.0,198
134.0,209
135.0,210
136.0,210
137.0,209
138.0,209
139.0,209
140.0,208
141.0,207
142.0,207
143.0,207
144.0,205
145.0,205
146.0,205
147.0,214
148.0,215
149.0,215
150.0,211
151.0,204
152.0,204
153.0,204
154.0,202
155.0,202
156.0,202
157.0,204
158.0,204
159.0,204
160.0,204
161.0,204
162.0,204
163.0,204
164.0,205
165.0,205
166.0,205
167.0,196
168.0,193
169.0,193
170.0,196
171.0,209
172.0,209
173.0,208
174.0,206
175.0,206
176.0,206
177.0,204
178.0,204
179.0,204
180.0,205
181.0,205
182.0,205
183.0,205
184.0,207
185.0,207
186.0,207
187.0,202
188.0,202
189.0,202
190.0,201
191.0,201
192.0,201
193.0,201
194.0,209
195.0,209
196.0,209
197.0,207
198.0,206
199.0,206
200.0,206
201.0,207
202.0,207
203.0,207
204.0,201
205.0,201
206.0,201
207.0,204
208.0,208
209.0,208
210.0,208
211.0,206
212.0,206
213.0,206
214.0,197
215.0,197
216.0,197
217.0,198
218.0,200
219.0,200
220.0,201
221.0,207
222.0,207
223.0,207
224.0,200
225.0,199
226.0,199
227.0,202
228.0,208
229.0,208
230.0,208
231.0,208
232.0,208
233.0,208
234.0,206
235.0,205
236.0,205
237.0,205
238.0,207
239.0,207
240.0,207
241.0,201
242.0,198
243.0,198
244.0,196
245.0,189
246.0,189
247.0,192
248.0,210
249.0,210
250.0,210
251.0,207
252.0,205
253.0,205
254.0,204
255.0,200
256.0,200
257.0,200
258.0,207
259.0,207
260.0,207
261.0,207
262.0,207
263.0,207
264.0,212
265.0,235
266.0,235
267.0,241
268.0,264
269.0,264
270.0,258
271.0,203
272.0,203
273.0,203
274.0,196
275.0,189
276.0,189
277.0,193
278.0,206
279.0,206
280.0,206
281.0,207
282.0,207
283.0,207
284.0,204
285.0,200
286.0,200
287.0,201
288.0,204
289.0,204
