t,power
0.0,193
1.0,209
2.0,196
3.0,218
4.0,211
5.0,211
6.0,204
7.0,196
8.0,190
9.0,190
10.0,190
11.0,199
12.0,204
13.0,221
14.0,221
15.0,195
16.0,248
17.0,210
18.0,210
19.0,184
20.0,189
21.0,202
22.0,202
23.0,202
24.0,195
25.0,208
26.0,208
27.0,208
28.0,197
29.0,182
30.0,278
31.0,278
32.0,240
33.0,233
34.0,206
35.0,206
36.0,197
37.0,195
38.0,204
39.0,204
40.0,204
41.0,206
42.0,194
43.0,202
44.0,202
45.0,196
46.0,194
47.0,193
48.0,190
49.0,192
50.0,196
51.0,221
52.0,224
53.0,203
54.0,211
55.0,197
56.0,197
57.0,197
58.0,197
59.0,192
60.0,182
61.0,182
62.0,198
63.0,219
64.0,173
65.0,188
66.0,207
67.0,225
68.0,217
69.0,193
70.0,193
71.0,180
72.0,191
73.0,217
74.0,217
75.0,201
76.0,205
77.0,218
78.0,218
79.0,212
80.0,212
81.0,210
82.0,0
83.0,0
84.0,0
85.0,195
86.0,208
87.0,208
88.0,202
89.0,209
90.0,209
91.0,208
92.0,200
93.0,196
94.0,196
95.0,192
96.0,201
97.0,203
98.0,213
99.0,213
100.0,211
101.0,216
102.0,212
103.0,209
104.0,205
105.0,202
106.0,200
107.0,196
108.0,191
109.0,196
110.0,198
111.0,187
112.0,187
113.0,218
114.0,208
115.0,199
116.0,199
117.0,202
118.0,212
119.0,212
120.0,214
121.0,217
122.0,221
123.0,222
124.0,190
125.0,190
126.0,196
127.0,190
128.0,200
129.0,200
130.0,197
131.0,200
132.0,195
133.0,195
134.0,198
135.0,211
136.0,196
137.0,196
138.0,196
139.0,195
140.0,204
141.0,221
142.0,221
143.0,210
144.0,205
145.0,205
146.0,205
147.0,194
148.0,198
149.0,208
150.0,208
151.0,208
152.0,214
153.0,217
154.0,199
155.0,199
156.0,202
157.0,204
158.0,198
159.0,198
160.0,207
161.0,212
162.0,199
163.0,199
164.0,197
165.0,205
166.0,196
167.0,213
168.0,213
169.0,206
170.0,198
171.0,202
172.0,202
173.0,200
174.0,201
175.0,201
176.0,201
177.0,198
178.0,216
179.0,217
180.0,217
181.0,204
182.0,204
183.0,207
184.0,194
185.0,194
186.0,199
187.0,208
188.0,207
189.0,207
190.0,214
191.0,211
192.0,216
193.0,216
194.0,225
195.0,220
196.0,215
197.0,196
198.0,193
199.0,189
200.0,196
201.0,200
202.0,200
203.0,184
204.0,190
205.0,196
206.0,196
207.0,207
208.0,220
209.0,209
210.0,209
211.0,216
212.0,205
213.0,199
214.0,199
215.0,199
216.0,192
217.0,201
218.0,212
219.0,212
220.0,205
221.0,205
222.0,207
223.0,215
224.0,213
225.0,210
226.0,213
227.0,192
228.0,196
229.0,204
230.0,200
231.0,205
