t,power
0.0,133
1.0,227
2.0,227
3.0,186
4.0,249
5.0,276
6.0,276
7.0,272
8.0,258
9.0,211
10.0,211
11.0,195
12.0,196
13.0,193
14.0,175
15.0,180
16.0,182
17.0,180
18.0,180
19.0,180
20.0,189
21.0,187
22.0,194
23.0,194
24.0,192
25.0,178
26.0,177
27.0,177
28.0,175
29.0,213
30.0,200
31.0,200
32.0,191
33.0,194
34.0,194
35.0,263
36.0,263
37.0,146
38.0,148
39.0,200
40.0,200
41.0,201
42.0,196
43.0,197
44.0,197
45.0,197
46.0,197
47.0,199
48.0,191
49.0,191
50.0,207
51.0,219
52.0,187
53.0,187
54.0,201
55.0,205
56.0,206
57.0,206
58.0,203
59.0,201
60.0,214
61.0,214
62.0,214
63.0,138
64.0,170
65.0,198
66.0,198
67.0,196
68.0,200
69.0,219
70.0,219
71.0,205
72.0,207
73.0,207
74.0,196
75.0,199
76.0,197
77.0,195
78.0,207
79.0,207
80.0,223
81.0,214
82.0,202
83.0,202
84.0,197
85.0,200
86.0,198
87.0,198
88.0,198
89.0,201
90.0,204
91.0,209
92.0,209
93.0,211
94.0,205
95.0,193
96.0,193
97.0,195
98.0,187
99.0,203
100.0,203
101.0,214
102.0,198
103.0,223
104.0,223
105.0,203
106.0,199
107.0,203
108.0,203
109.0,200
110.0,200
111.0,208
112.0,212
113.0,212
114.0,207
115.0,204
116.0,202
117.0,193
118.0,194
119.0,190
120.0,185
121.0,206
122.0,206
123.0,240
124.0,182
125.0,184
126.0,184
127.0,209
128.0,212
129.0,207
130.0,207
131.0,207
132.0,234
133.0,236
134.0,204
135.0,204
136.0,207
137.0,205
138.0,204
139.0,204
140.0,204
141.0,194
142.0,208
143.0,208
144.0,214
145.0,208
146.0,191
147.0,191
148.0,191
149.0,188
150.0,196
151.0,223
152.0,223
153.0,213
154.0,205
155.0,175
156.0,175
157.0,208
158.0,193
159.0,220
160.0,220
161.0,230
162.0,209
163.0,207
164.0,207
165.0,207
166.0,209
167.0,211
168.0,205
169.0,205
170.0,201
171.0,189
172.0,206
173.0,206
174.0,206
175.0,213
176.0,206
177.0,197
178.0,197
179.0,196
180.0,204
181.0,204
182.0,218
183.0,200
184.0,227
185.0,227
186.0,227
187.0,193
188.0,201
189.0,248
190.0,248
191.0,213
192.0,226
193.0,205
194.0,205
195.0,201
196.0,200
197.0,187
198.0,187
199.0,191
200.0,194
201.0,198
202.0,219
203.0,219
204.0,215
205.0,203
206.0,190
207.0,190
208.0,200
209.0,209
210.0,195
211.0,195
212.0,199
213.0,208
214.0,231
215.0,231
216.0,231
217.0,212
218.0,195
219.0,196
220.0,196
221.0,195
222.0,202
223.0,201
224.0,201
225.0,202
226.0,219
227.0,218
228.0,203
229.0,203
230.0,198
231.0,202
232.0,200
233.0,200
234.0,196
235.0,200
236.0,211
237.0,211
238.0,207
239.0,230
240.0,221
241.0,221
242.0,211
243.0,205
244.0,205
245.0,213
246.0,213
247.0,201
248.0,193
249.0,196
250.0,196
251.0,205
252.0,196
253.0,202
254.0,202
255.0,215
256.0,216
257.0,210
258.0,221
259.0,211
260.0,197
261.0,192
262.0,197
263.0,197
264.0,197
265.0,221
266.0,203
267.0,203
268.0,194
269.0,208
270.0,199
271.0,199
272.0,199
273.0,207
274.0,204
275.0,195
276.0,195
277.0,197
278.0,197
279.0,192
280.0,192
281.0,211
282.0,233
283.0,213
284.0,213
285.0,197
286.0,191
287.0,178
288.0,178
289.0,178
290.0,190
291.0,214
292.0,233
293.0,233
294.0,216
295.0,204
296.0,214
297.0,214
298.0,217
299.0,187
300.0,220
301.0,220
302.0,220
303.0,211
304.0,244
305.0,236
306.0,236
307.0,265
308.0,255
309.0,235
310.0,235
311.0,233
312.0,241
313.0,241
314.0,232
315.0,232
316.0,253
317.0,248
318.0,244
319.0,244
320.0,229
321.0,229
322.0,228
323.0,228
324.0,228
325.0,222
326.0,233
327.0,242
328.0,242
329.0,249
330.0,245
331.0,249
332.0,249
333.0,234
334.0,223
335.0,224
336.0,224
337.0,221
338.0,233
339.0,244
340.0,244
341.0,244
342.0,231
343.0,225
344.0,220
345.0,220
346.0,248
347.0,243
348.0,236
349.0,236
350.0,234
351.0,240
352.0,243
353.0,243
354.0,243
355.0,221
356.0,250
357.0,250
358.0,250
359.0,247
360.0,223
361.0,234
362.0,234
363.0,233
364.0,223
365.0,217
366.0,217
367.0,235
368.0,248
369.0,262
370.0,262
371.0,252
372.0,249
373.0,232
374.0,236
375.0,236
376.0,242
377.0,257
378.0,250
379.0,224
380.0,224
381.0,224
382.0,225
383.0,225
384.0,225
385.0,248
386.0,230
387.0,230
388.0,230
389.0,233
390.0,215
391.0,215
392.0,205
393.0,234
394.0,234
395.0,234
396.0,234
397.0,229
398.0,235
399.0,243
400.0,243
401.0,243
402.0,241
403.0,237
404.0,237
405.0,239
406.0,227
407.0,230
408.0,230
409.0,235
410.0,254
411.0,235
412.0,235
413.0,235
414.0,238
415.0,234
416.0,237
417.0,237
418.0,225
419.0,243
420.0,245
421.0,245
422.0,243
423.0,240
424.0,245
425.0,245
426.0,224
427.0,225
428.0,221
429.0,227
430.0,227
431.0,231
432.0,225
433.0,231
434.0,231
435.0,242
436.0,233
437.0,238
438.0,238
439.0,227
440.0,223
441.0,247
442.0,241
443.0,232
444.0,229
445.0,234
446.0,243
447.0,243
448.0,238
449.0,230
450.0,227
451.0,227
452.0,231
453.0,239
454.0,248
455.0,239
456.0,239
457.0,250
458.0,245
459.0,243
460.0,243
461.0,231
462.0,237
463.0,234
464.0,234
465.0,237
466.0,226
467.0,222
468.0,228
469.0,229
470.0,244
471.0,258
472.0,234
473.0,234
474.0,231
475.0,245
476.0,237
477.0,237
478.0,242
479.0,242
480.0,219
481.0,219
482.0,222
483.0,225
484.0,237
485.0,230
486.0,231
487.0,241
488.0,243
489.0,242
490.0,242
491.0,241
492.0,236
493.0,229
494.0,229
495.0,227
496.0,235
497.0,256
498.0,256
499.0,256
500.0,224
501.0,240
502.0,242
503.0,242
504.0,241
505.0,230
506.0,228
507.0,228
508.0,221
509.0,226
510.0,238
511.0,238
512.0,238
513.0,236
514.0,224
515.0,238
516.0,238
517.0,250
518.0,244
519.0,237
520.0,237
521.0,226
522.0,231
523.0,227
524.0,227
525.0,246
526.0,236
527.0,232
528.0,232
529.0,234
530.0,253
531.0,254
532.0,220
533.0,220
534.0,218
535.0,228
536.0,240
537.0,240
538.0,233
539.0,239
540.0,220
541.0,239
542.0,238
543.0,231
544.0,191
545.0,179
546.0,196
547.0,199
548.0,215
549.0,199
550.0,199
551.0,202
552.0,209
553.0,210
554.0,198
555.0,199
556.0,206
557.0,211
558.0,210
559.0,210
560.0,194
561.0,184
562.0,207
563.0,207
564.0,205
565.0,197
566.0,210
567.0,210
568.0,210
569.0,215
570.0,221
571.0,209
572.0,209
573.0,201
574.0,203
575.0,179
576.0,179
577.0,200
578.0,204
579.0,201
580.0,201
581.0,199
582.0,188
583.0,207
584.0,0
585.0,0
586.0,0
587.0,209
588.0,202
589.0,206
590.0,203
591.0,201
592.0,212
593.0,209
594.0,204
595.0,193
596.0,204
597.0,218
598.0,222
599.0,213
600.0,209
601.0,195
602.0,193
603.0,201
604.0,232
605.0,232
606.0,234
607.0,240
608.0,255
609.0,255
610.0,240
611.0,245
612.0,234
613.0,232
614.0,231
