t,power
0.0,0
1.0,0
2.0,0
3.0,0
4.0,0
5.0,0
6.0,2
7.0,0
8.0,0
9.0,0
10.0,0
11.0,0
12.0,0
13.0,0
14.0,0
15.0,0
16.0,0
17.0,0
18.0,0
19.0,0
20.0,0
21.0,0
22.0,0
23.0,0
24.0,0
25.0,0
26.0,0
27.0,153
28.0,397
29.0,418
30.0,412
31.0,399
32.0,312
33.0,186
34.0,131
35.0,173
36.0,230
37.0,218
38.0,217
39.0,220
40.0,184
41.0,176
42.0,174
43.0,176
44.0,165
45.0,165
46.0,160
47.0,156
48.0,163
49.0,152
50.0,106
51.0,139
52.0,160
53.0,157
54.0,172
55.0,178
56.0,165
57.0,158
58.0,146
59.0,143
60.0,99
61.0,109
62.0,132
63.0,126
64.0,138
65.0,139
66.0,136
67.0,131
68.0,138
69.0,135
70.0,137
71.0,158
72.0,153
73.0,162
74.0,163
75.0,115
76.0,101
77.0,211
78.0,181
79.0,180
80.0,194
81.0,201
82.0,176
83.0,170
84.0,171
85.0,175
86.0,166
87.0,145
88.0,159
89.0,151
90.0,131
91.0,147
92.0,145
93.0,138
94.0,131
95.0,121
96.0,117
97.0,126
98.0,75
99.0,98
100.0,131
101.0,116
102.0,128
103.0,122
104.0,116
105.0,110
106.0,105
107.0,115
108.0,112
109.0,130
110.0,167
111.0,149
112.0,115
113.0,179
114.0,171
115.0,166
116.0,170
117.0,195
118.0,184
119.0,195
120.0,186
121.0,180
122.0,184
123.0,156
124.0,167
125.0,166
126.0,134
127.0,131
128.0,126
129.0,96
130.0,105
131.0,114
132.0,120
133.0,131
134.0,132
135.0,137
136.0,140
137.0,133
138.0,156
139.0,155
140.0,152
141.0,139
142.0,139
143.0,138
144.0,144
145.0,161
146.0,161
147.0,137
148.0,125
149.0,128
150.0,154
151.0,157
152.0,143
153.0,139
154.0,119
155.0,136
156.0,146
157.0,157
158.0,155
159.0,141
160.0,159
161.0,175
162.0,169
163.0,192
164.0,215
165.0,187
166.0,175
167.0,183
168.0,196
169.0,199
170.0,206
171.0,190
172.0,181
173.0,160
174.0,141
175.0,170
176.0,189
177.0,172
178.0,143
179.0,111
180.0,76
181.0,76
182.0,20
183.0,0
184.0,0
185.0,1
186.0,0
187.0,0
188.0,0
189.0,0
190.0,0
191.0,0
192.0,0
193.0,0
194.0,0
195.0,0
196.0,0
197.0,39
198.0,143
199.0,148
200.0,206
201.0,193
202.0,176
203.0,165
204.0,159
205.0,164
206.0,157
207.0,149
208.0,143
209.0,132
210.0,137
211.0,115
212.0,99
213.0,89
214.0,106
215.0,116
216.0,114
217.0,123
218.0,127
219.0,132
220.0,112
221.0,113
222.0,109
223.0,105
224.0,152
225.0,143
226.0,131
227.0,145
228.0,163
229.0,148
230.0,155
231.0,180
232.0,155
233.0,149
234.0,134
235.0,146
236.0,126
237.0,52
238.0,152
239.0,175
240.0,154
241.0,162
242.0,155
243.0,135
244.0,132
245.0,109
246.0,130
247.0,128
248.0,110
249.0,105
250.0,109
251.0,103
252.0,105
253.0,158
254.0,172
255.0,146
256.0,164
257.0,171
258.0,164
259.0,164
260.0,162
261.0,153
262.0,175
263.0,172
264.0,189
265.0,199
266.0,200
267.0,199
268.0,200
269.0,189
270.0,191
271.0,183
272.0,199
273.0,194
274.0,183
275.0,172
276.0,181
277.0,165
278.0,145
279.0,144
280.0,137
281.0,146
282.0,139
283.0,119
284.0,124
285.0,152
286.0,147
287.0,156
288.0,163
289.0,170
290.0,172
291.0,167
292.0,152
293.0,165
294.0,183
295.0,180
296.0,173
297.0,174
298.0,173
299.0,188
300.0,194
301.0,185
302.0,183
303.0,191
304.0,185
305.0,189
306.0,190
307.0,204
308.0,207
309.0,191
310.0,210
311.0,209
312.0,202
313.0,184
314.0,195
315.0,188
316.0,179
317.0,185
318.0,190
319.0,195
320.0,198
321.0,185
322.0,199
323.0,195
324.0,193
325.0,180
326.0,183
327.0,189
328.0,186
329.0,171
330.0,162
331.0,143
332.0,123
333.0,129
334.0,123
335.0,122
336.0,104
337.0,92
338.0,78
339.0,72
340.0,82
341.0,51
342.0,52
343.0,52
344.0,53
345.0,59
346.0,67
347.0,57
348.0,50
349.0,60
350.0,70
351.0,77
352.0,104
353.0,114
354.0,118
355.0,169
356.0,189
357.0,210
358.0,233
359.0,195
360.0,183
361.0,165
362.0,167
363.0,187
364.0,207
365.0,201
366.0,244
367.0,255
368.0,239
369.0,236
370.0,205
371.0,187
372.0,174
373.0,162
374.0,161
375.0,184
376.0,193
377.0,178
378.0,164
379.0,152
380.0,147
381.0,150
382.0,137
383.0,134
384.0,133
385.0,131
386.0,130
387.0,143
388.0,139
389.0,130
390.0,120
391.0,114
392.0,129
393.0,156
394.0,165
395.0,139
396.0,142
397.0,160
398.0,149
399.0,171
400.0,173
401.0,167
402.0,142
403.0,136
404.0,140
405.0,129
406.0,123
407.0,109
408.0,93
409.0,113
410.0,132
411.0,120
412.0,103
413.0,182
414.0,175
415.0,152
416.0,105
417.0,74
418.0,55
419.0,70
420.0,65
421.0,54
422.0,52
423.0,53
424.0,53
425.0,60
426.0,60
427.0,66
428.0,82
429.0,89
430.0,90
431.0,99
432.0,120
433.0,137
434.0,181
435.0,193
436.0,172
437.0,133
438.0,114
439.0,96
440.0,59
441.0,51
442.0,62
443.0,60
444.0,56
445.0,62
446.0,77
447.0,85
448.0,125
449.0,144
450.0,162
451.0,221
452.0,208
453.0,178
454.0,166
455.0,167
456.0,168
457.0,169
458.0,182
459.0,185
460.0,196
461.0,178
462.0,167
463.0,58
464.0,161
465.0,265
466.0,214
467.0,185
468.0,182
469.0,181
470.0,170
471.0,187
472.0,195
473.0,167
474.0,205
475.0,195
476.0,192
477.0,195
478.0,187
479.0,184
480.0,188
481.0,196
482.0,224
483.0,221
484.0,199
485.0,193
486.0,195
487.0,210
488.0,207
489.0,191
490.0,176
491.0,174
492.0,189
493.0,183
494.0,193
495.0,208
496.0,238
497.0,228
498.0,199
499.0,175
500.0,165
501.0,171
502.0,177
503.0,184
504.0,182
505.0,179
506.0,176
507.0,191
508.0,192
509.0,183
510.0,173
511.0,154
512.0,167
513.0,163
514.0,161
515.0,162
516.0,171
517.0,174
518.0,177
519.0,180
520.0,187
521.0,175
522.0,165
523.0,135
524.0,146
525.0,164
526.0,173
527.0,158
528.0,165
529.0,149
530.0,132
531.0,158
532.0,184
533.0,198
534.0,175
535.0,172
536.0,161
537.0,164
538.0,168
539.0,169
540.0,173
541.0,163
542.0,157
543.0,151
544.0,143
545.0,153
546.0,150
547.0,138
548.0,147
549.0,145
550.0,152
551.0,151
552.0,146
553.0,144
554.0,141
555.0,141
556.0,146
557.0,159
558.0,162
559.0,157
560.0,160
561.0,151
562.0,164
563.0,159
564.0,167
565.0,172
566.0,176
567.0,184
568.0,194
569.0,195
570.0,195
571.0,200
