t,power
0.0,0
1.0,0
2.0,0
3.0,0
4.0,0
5.0,0
6.0,0
7.0,0
8.0,0
9.0,0
10.0,0
11.0,25
12.0,31
13.0,26
14.0,0
15.0,0
16.0,0
17.0,0
18.0,0
19.0,0
20.0,0
21.0,0
22.0,0
23.0,0
24.0,0
25.0,0
26.0,0
27.0,0
28.0,0
29.0,0
30.0,0
31.0,0
32.0,0
33.0,0
34.0,0
35.0,0
36.0,0
37.0,0
38.0,0
39.0,0
40.0,0
41.0,0
42.0,69
43.0,195
44.0,186
45.0,85
46.0,259
47.0,289
48.0,119
49.0,195
50.0,285
51.0,330
52.0,330
53.0,264
54.0,296
55.0,293
56.0,242
57.0,231
58.0,227
59.0,219
60.0,217
61.0,210
62.0,205
63.0,207
64.0,181
65.0,171
66.0,173
67.0,173
68.0,152
69.0,144
70.0,144
71.0,151
72.0,182
73.0,188
74.0,165
75.0,183
76.0,182
77.0,165
78.0,149
79.0,151
80.0,139
81.0,143
82.0,149
83.0,174
84.0,179
85.0,158
86.0,182
87.0,179
88.0,208
89.0,219
90.0,225
91.0,222
92.0,218
93.0,262
94.0,284
95.0,273
96.0,276
97.0,254
98.0,255
99.0,257
100.0,254
101.0,245
102.0,226
103.0,214
104.0,235
105.0,249
106.0,226
107.0,213
108.0,209
109.0,198
110.0,185
111.0,178
112.0,162
113.0,150
114.0,158
115.0,160
116.0,160
117.0,173
118.0,173
119.0,183
120.0,192
121.0,203
122.0,210
123.0,195
124.0,208
125.0,202
126.0,197
127.0,218
128.0,222
129.0,209
130.0,197
131.0,205
132.0,198
133.0,186
134.0,197
135.0,194
136.0,193
137.0,193
138.0,177
139.0,170
140.0,185
141.0,171
142.0,173
143.0,185
144.0,176
145.0,184
146.0,201
147.0,224
148.0,203
149.0,213
150.0,202
151.0,197
152.0,196
153.0,197
154.0,198
155.0,203
156.0,213
157.0,220
158.0,199
159.0,208
160.0,218
161.0,213
162.0,213
163.0,229
164.0,225
165.0,248
166.0,227
167.0,166
168.0,156
169.0,284
170.0,246
171.0,194
172.0,169
173.0,188
174.0,197
175.0,203
176.0,171
177.0,131
178.0,145
179.0,198
180.0,197
181.0,218
182.0,233
183.0,243
184.0,226
185.0,228
186.0,208
187.0,252
188.0,258
189.0,223
190.0,221
191.0,215
192.0,198
193.0,175
194.0,169
195.0,194
196.0,196
197.0,184
198.0,195
199.0,197
200.0,178
201.0,164
202.0,161
203.0,190
204.0,179
205.0,170
206.0,197
207.0,198
208.0,185
209.0,212
210.0,218
211.0,206
212.0,196
213.0,194
214.0,172
215.0,165
216.0,153
217.0,169
218.0,165
219.0,170
220.0,171
221.0,166
222.0,185
223.0,178
224.0,180
225.0,196
226.0,189
227.0,176
228.0,192
229.0,193
230.0,200
231.0,186
232.0,185
233.0,197
234.0,220
235.0,219
236.0,242
237.0,258
238.0,220
239.0,258
240.0,220
241.0,206
242.0,230
243.0,216
244.0,253
245.0,259
246.0,271
247.0,239
248.0,213
249.0,217
250.0,211
251.0,195
252.0,193
253.0,186
254.0,183
255.0,182
256.0,171
257.0,161
258.0,151
259.0,149
260.0,175
261.0,200
262.0,192
263.0,188
264.0,186
265.0,186
266.0,192
267.0,199
268.0,199
269.0,205
270.0,205
271.0,216
272.0,209
273.0,198
274.0,215
275.0,225
276.0,234
277.0,239
278.0,240
279.0,238
280.0,228
281.0,249
282.0,227
283.0,225
284.0,240
285.0,256
286.0,244
287.0,270
288.0,242
289.0,248
290.0,234
291.0,213
292.0,226
293.0,225
294.0,209
295.0,192
296.0,209
297.0,217
298.0,197
299.0,178
300.0,167
301.0,170
302.0,164
303.0,184
304.0,161
305.0,148
306.0,172
307.0,164
308.0,169
309.0,125
310.0,129
311.0,108
312.0,93
313.0,87
314.0,97
315.0,102
316.0,119
317.0,132
318.0,136
319.0,166
320.0,167
321.0,202
322.0,215
323.0,227
324.0,207
325.0,259
326.0,240
327.0,213
328.0,239
329.0,250
330.0,264
331.0,259
332.0,244
333.0,252
334.0,244
335.0,230
336.0,215
337.0,196
338.0,199
339.0,192
340.0,200
341.0,212
342.0,197
343.0,184
344.0,192
345.0,176
346.0,162
347.0,155
348.0,144
349.0,121
350.0,119
351.0,164
352.0,170
353.0,89
354.0,178
355.0,170
356.0,164
357.0,156
358.0,161
359.0,181
360.0,196
361.0,196
362.0,191
363.0,202
364.0,179
365.0,184
366.0,185
367.0,177
368.0,176
369.0,180
370.0,165
371.0,151
372.0,149
373.0,154
374.0,177
375.0,163
376.0,145
377.0,142
378.0,116
379.0,109
380.0,103
381.0,60
382.0,137
383.0,130
384.0,114
385.0,108
386.0,116
387.0,117
388.0,119
389.0,113
390.0,113
391.0,130
392.0,140
393.0,158
394.0,151
395.0,176
396.0,181
397.0,191
398.0,200
399.0,207
400.0,169
401.0,140
402.0,130
403.0,125
404.0,138
405.0,135
406.0,130
407.0,134
408.0,162
409.0,204
410.0,222
411.0,217
412.0,214
413.0,227
414.0,244
415.0,247
416.0,227
417.0,188
418.0,202
419.0,210
420.0,226
421.0,215
422.0,226
423.0,226
424.0,220
425.0,229
426.0,106
427.0,220
428.0,224
429.0,221
430.0,197
431.0,205
432.0,232
433.0,235
434.0,227
435.0,236
436.0,265
437.0,263
438.0,249
439.0,233
440.0,230
441.0,226
442.0,218
443.0,229
444.0,220
445.0,223
446.0,222
447.0,234
448.0,237
449.0,241
450.0,236
451.0,224
452.0,214
453.0,213
454.0,222
455.0,221
456.0,222
457.0,226
458.0,250
459.0,248
460.0,244
461.0,233
462.0,232
463.0,236
464.0,234
465.0,247
466.0,239
467.0,229
468.0,228
469.0,223
470.0,218
471.0,222
472.0,213
473.0,209
474.0,224
475.0,221
476.0,219
477.0,222
478.0,212
479.0,215
480.0,206
481.0,200
482.0,209
483.0,197
484.0,187
485.0,197
486.0,207
487.0,203
488.0,190
489.0,183
490.0,169
491.0,155
492.0,144
493.0,152
494.0,156
495.0,155
496.0,158
497.0,159
498.0,168
499.0,158
500.0,154
501.0,155
502.0,161
503.0,168
504.0,165
505.0,168
506.0,170
507.0,149
508.0,139
509.0,138
510.0,136
511.0,143
512.0,151
513.0,155
514.0,161
515.0,165
516.0,164
517.0,184
518.0,200
519.0,182
520.0,181
521.0,200
522.0,205
523.0,191
524.0,184
525.0,209
526.0,208
527.0,221
528.0,224
529.0,222
530.0,216
531.0,215
532.0,222
533.0,209
534.0,222
535.0,227
536.0,251
537.0,245
538.0,236
539.0,246
540.0,240
541.0,241
542.0,237
543.0,242
544.0,232
545.0,232
546.0,234
547.0,237
548.0,230
549.0,211
550.0,202
551.0,203
552.0,233
553.0,229
554.0,220
555.0,218
556.0,207
557.0,230
558.0,256
559.0,242
560.0,235
561.0,224
562.0,212
563.0,188
564.0,173
565.0,164
566.0,152
567.0,154
568.0,159
569.0,166
570.0,155
571.0,157
