t,power
0.0,156
1.0,99
2.0,91
3.0,105
4.0,96
5.0,96
6.0,100
7.0,100
8.0,101
9.0,98
10.0,97
11.0,100
12.0,113
13.0,121
14.0,121
15.0,116
16.0,114
17.0,111
18.0,111
19.0,113
20.0,112
21.0,125
22.0,125
23.0,120
24.0,135
25.0,200
26.0,200
27.0,184
28.0,171
29.0,171
30.0,191
31.0,191
32.0,193
33.0,207
34.0,191
35.0,191
36.0,187
37.0,179
38.0,192
39.0,192
40.0,192
41.0,192
42.0,209
43.0,209
44.0,209
45.0,214
46.0,214
47.0,208
48.0,208
49.0,197
50.0,212
51.0,116
52.0,116
53.0,114
54.0,143
55.0,192
56.0,192
57.0,192
58.0,178
59.0,160
60.0,170
61.0,170
62.0,175
63.0,172
64.0,182
65.0,182
66.0,176
67.0,176
68.0,176
69.0,176
70.0,169
71.0,172
72.0,179
73.0,179
74.0,179
75.0,180
76.0,183
77.0,171
78.0,171
79.0,177
80.0,184
81.0,170
82.0,170
83.0,179
84.0,181
85.0,185
86.0,185
87.0,183
88.0,181
89.0,190
90.0,194
91.0,194
92.0,203
93.0,180
94.0,184
95.0,184
96.0,191
97.0,190
98.0,175
99.0,175
100.0,177
101.0,178
102.0,185
103.0,185
104.0,176
105.0,176
106.0,189
107.0,180
108.0,180
109.0,182
110.0,183
111.0,181
112.0,189
113.0,186
114.0,188
115.0,187
116.0,187
117.0,187
118.0,181
119.0,187
120.0,197
121.0,197
122.0,196
123.0,193
124.0,204
125.0,204
126.0,202
127.0,196
128.0,198
129.0,193
130.0,193
131.0,189
132.0,205
133.0,198
134.0,198
135.0,203
136.0,196
137.0,193
138.0,193
139.0,193
140.0,193
141.0,191
142.0,191
143.0,191
144.0,194
145.0,191
146.0,191
147.0,191
148.0,193
149.0,197
150.0,192
151.0,192
152.0,201
153.0,195
154.0,212
155.0,212
156.0,204
157.0,190
158.0,203
159.0,203
160.0,203
161.0,183
162.0,183
163.0,204
164.0,204
165.0,207
166.0,203
167.0,198
168.0,198
169.0,196
170.0,197
171.0,200
172.0,256
173.0,256
174.0,204
175.0,187
176.0,187
177.0,184
178.0,200
179.0,203
180.0,203
181.0,203
182.0,186
183.0,189
184.0,190
185.0,190
186.0,192
187.0,182
188.0,187
189.0,187
190.0,187
191.0,188
192.0,186
193.0,186
194.0,194
195.0,197
196.0,198
197.0,202
198.0,202
199.0,203
200.0,192
201.0,200
202.0,200
203.0,208
204.0,195
205.0,197
206.0,197
207.0,192
208.0,136
209.0,168
210.0,168
211.0,168
212.0,168
213.0,158
214.0,162
215.0,162
216.0,159
217.0,167
218.0,159
219.0,159
220.0,158
221.0,161
222.0,165
223.0,163
224.0,163
225.0,165
226.0,155
227.0,160
228.0,160
229.0,168
230.0,168
231.0,160
232.0,160
233.0,168
234.0,158
235.0,170
236.0,170
237.0,164
238.0,161
239.0,161
240.0,162
241.0,162
242.0,173
243.0,173
244.0,139
245.0,139
246.0,149
247.0,144
248.0,197
249.0,197
250.0,142
251.0,166
252.0,177
253.0,159
254.0,159
255.0,170
256.0,211
257.0,194
258.0,194
259.0,198
260.0,192
261.0,173
262.0,173
263.0,146
264.0,162
265.0,169
266.0,169
267.0,169
268.0,172
269.0,174
270.0,161
271.0,161
272.0,165
273.0,169
274.0,198
275.0,198
276.0,210
277.0,207
278.0,206
279.0,206
280.0,205
281.0,203
282.0,212
283.0,212
284.0,212
285.0,213
286.0,211
287.0,202
288.0,202
289.0,202
290.0,209
291.0,211
292.0,211
293.0,221
294.0,197
295.0,158
296.0,158
297.0,158
298.0,185
299.0,180
300.0,152
301.0,152
302.0,162
303.0,174
304.0,153
305.0,153
306.0,157
307.0,163
308.0,172
309.0,172
310.0,172
311.0,155
312.0,170
313.0,162
314.0,162
315.0,165
316.0,168
317.0,165
318.0,165
319.0,165
320.0,159
321.0,161
322.0,165
323.0,165
324.0,163
325.0,170
326.0,163
327.0,163
328.0,158
329.0,165
330.0,172
331.0,172
332.0,158
333.0,147
334.0,167
335.0,167
336.0,167
337.0,162
338.0,154
339.0,155
340.0,155
341.0,172
342.0,162
343.0,166
344.0,166
345.0,169
346.0,166
347.0,166
348.0,166
349.0,167
350.0,171
351.0,158
352.0,158
353.0,158
354.0,147
355.0,165
356.0,162
357.0,162
358.0,177
359.0,164
360.0,157
361.0,157
362.0,167
363.0,168
364.0,167
365.0,167
366.0,159
367.0,161
368.0,156
369.0,160
370.0,160
371.0,168
372.0,168
373.0,157
374.0,0
375.0,0
376.0,0
377.0,166
378.0,162
379.0,162
380.0,165
381.0,154
382.0,154
383.0,166
384.0,164
385.0,154
386.0,154
387.0,165
388.0,177
389.0,163
390.0,163
391.0,163
392.0,169
393.0,170
394.0,174
395.0,174
396.0,171
397.0,170
398.0,167
399.0,167
400.0,171
401.0,168
402.0,170
403.0,170
404.0,167
405.0,166
406.0,158
407.0,158
408.0,158
409.0,166
410.0,163
411.0,168
412.0,168
413.0,159
414.0,163
415.0,170
416.0,170
417.0,164
418.0,162
419.0,158
420.0,158
421.0,162
422.0,167
423.0,172
424.0,172
425.0,172
426.0,172
427.0,171
428.0,166
429.0,166
430.0,164
431.0,167
432.0,163
433.0,163
434.0,161
435.0,169
436.0,172
437.0,172
438.0,175
439.0,164
440.0,161
441.0,171
442.0,171
443.0,177
444.0,151
445.0,171
446.0,171
447.0,161
448.0,166
449.0,166
450.0,151
451.0,151
452.0,156
453.0,152
454.0,163
455.0,163
456.0,165
457.0,167
458.0,162
459.0,162
460.0,165
461.0,157
462.0,153
463.0,161
464.0,161
465.0,159
466.0,158
467.0,166
468.0,166
469.0,166
470.0,162
471.0,160
472.0,160
473.0,157
474.0,173
475.0,160
476.0,160
477.0,160
478.0,176
479.0,167
480.0,164
481.0,164
482.0,165
483.0,167
484.0,162
485.0,162
486.0,168
487.0,167
488.0,159
489.0,159
490.0,155
491.0,164
492.0,163
493.0,160
494.0,160
495.0,165
496.0,157
497.0,169
498.0,169
499.0,167
500.0,165
501.0,156
502.0,156
503.0,160
504.0,169
505.0,166
506.0,166
507.0,166
508.0,161
509.0,165
510.0,163
511.0,163
512.0,165
513.0,163
514.0,170
515.0,170
516.0,170
517.0,168
518.0,162
519.0,162
520.0,166
521.0,167
522.0,166
523.0,161
524.0,161
525.0,168
526.0,164
527.0,172
528.0,172
529.0,167
530.0,170
531.0,162
532.0,162
533.0,169
534.0,165
535.0,152
536.0,185
537.0,173
538.0,163
539.0,165
540.0,167
541.0,164
542.0,172
543.0,190
544.0,181
545.0,181
546.0,171
547.0,168
548.0,177
549.0,177
550.0,173
551.0,155
