t,power
0.0,0
1.0,0
2.0,0
3.0,0
4.0,0
5.0,0
6.0,0
7.0,0
8.0,0
9.0,0
10.0,0
11.0,0
12.0,0
13.0,0
14.0,0
15.0,0
16.0,0
17.0,0
18.0,0
19.0,0
20.0,0
21.0,15
22.0,14
23.0,0
24.0,0
25.0,0
26.0,0
27.0,0
28.0,0
29.0,0
30.0,0
31.0,0
32.0,0
33.0,0
34.0,0
35.0,0
36.0,0
37.0,0
38.0,0
39.0,0
40.0,0
41.0,219
42.0,234
43.0,242
44.0,219
45.0,209
46.0,201
47.0,212
48.0,218
49.0,195
50.0,187
51.0,181
52.0,210
53.0,208
54.0,214
55.0,211
56.0,216
57.0,211
58.0,210
59.0,228
60.0,217
61.0,201
62.0,189
63.0,194
64.0,179
65.0,181
66.0,172
67.0,194
68.0,203
69.0,188
70.0,176
71.0,190
72.0,189
73.0,178
74.0,205
75.0,188
76.0,167
77.0,152
78.0,159
79.0,153
80.0,152
81.0,166
82.0,195
83.0,184
84.0,195
85.0,198
86.0,184
87.0,220
88.0,234
89.0,252
90.0,243
91.0,305
92.0,403
93.0,357
94.0,275
95.0,271
96.0,271
97.0,260
98.0,233
99.0,209
100.0,179
101.0,171
102.0,180
103.0,191
104.0,219
105.0,244
106.0,235
107.0,225
108.0,225
109.0,216
110.0,187
111.0,178
112.0,172
113.0,186
114.0,180
115.0,174
116.0,170
117.0,175
118.0,175
119.0,165
120.0,169
121.0,195
122.0,203
123.0,188
124.0,175
125.0,181
126.0,169
127.0,170
128.0,184
129.0,175
130.0,165
131.0,152
132.0,153
133.0,148
134.0,165
135.0,165
136.0,180
137.0,179
138.0,186
139.0,214
140.0,191
141.0,182
142.0,181
143.0,176
144.0,187
145.0,189
146.0,198
147.0,222
148.0,223
149.0,213
150.0,237
151.0,217
152.0,214
153.0,212
154.0,220
155.0,237
156.0,193
157.0,204
158.0,211
159.0,207
160.0,201
161.0,206
162.0,207
163.0,220
164.0,222
165.0,235
166.0,275
167.0,275
168.0,238
169.0,172
170.0,188
171.0,203
172.0,104
173.0,184
174.0,206
175.0,246
176.0,222
177.0,127
178.0,103
179.0,186
180.0,249
181.0,191
182.0,204
183.0,226
184.0,224
185.0,203
186.0,218
187.0,210
188.0,214
189.0,216
190.0,200
191.0,194
192.0,190
193.0,176
194.0,158
195.0,174
196.0,173
197.0,176
198.0,164
199.0,180
200.0,186
201.0,159
202.0,152
203.0,160
204.0,135
205.0,165
206.0,154
207.0,162
208.0,158
209.0,151
210.0,160
211.0,171
212.0,170
213.0,159
214.0,137
215.0,138
216.0,149
217.0,152
218.0,150
219.0,125
220.0,139
221.0,144
222.0,161
223.0,140
224.0,130
225.0,150
226.0,167
227.0,162
228.0,170
229.0,178
230.0,177
231.0,177
232.0,166
233.0,155
234.0,157
235.0,152
236.0,171
237.0,180
238.0,155
239.0,159
240.0,169
241.0,204
242.0,216
243.0,244
244.0,258
245.0,245
246.0,257
247.0,258
248.0,252
249.0,250
250.0,250
251.0,243
252.0,238
253.0,238
254.0,220
255.0,240
256.0,223
257.0,202
258.0,191
259.0,180
260.0,182
261.0,186
262.0,201
263.0,183
264.0,175
265.0,192
266.0,199
267.0,191
268.0,196
269.0,207
270.0,231
271.0,223
272.0,210
273.0,200
274.0,204
275.0,209
276.0,199
277.0,199
278.0,190
279.0,190
280.0,203
281.0,223
282.0,224
283.0,216
284.0,217
285.0,223
286.0,221
287.0,227
288.0,226
289.0,245
290.0,234
291.0,217
292.0,235
293.0,240
294.0,226
295.0,228
296.0,221
297.0,230
298.0,237
299.0,243
300.0,234
301.0,227
302.0,238
303.0,232
304.0,215
305.0,208
306.0,192
307.0,194
308.0,194
309.0,175
310.0,139
311.0,116
312.0,106
313.0,106
314.0,123
315.0,123
316.0,58
317.0,104
318.0,137
319.0,160
320.0,161
321.0,138
322.0,54
323.0,97
324.0,130
325.0,213
326.0,200
327.0,180
328.0,177
329.0,178
330.0,180
331.0,184
332.0,171
333.0,77
334.0,235
335.0,265
336.0,267
337.0,233
338.0,223
339.0,250
340.0,246
341.0,266
342.0,273
343.0,259
344.0,251
345.0,235
346.0,228
347.0,206
348.0,197
349.0,218
350.0,209
351.0,204
352.0,192
353.0,192
354.0,196
355.0,185
356.0,181
357.0,182
358.0,156
359.0,132
360.0,124
361.0,144
362.0,166
363.0,152
364.0,144
365.0,128
366.0,137
367.0,159
368.0,137
369.0,134
370.0,153
371.0,168
372.0,170
373.0,163
374.0,180
375.0,213
376.0,196
377.0,189
378.0,184
379.0,166
380.0,163
381.0,163
382.0,144
383.0,138
384.0,139
385.0,139
386.0,153
387.0,198
388.0,189
389.0,163
390.0,144
391.0,131
392.0,100
393.0,92
394.0,70
395.0,62
396.0,132
397.0,98
398.0,112
399.0,99
400.0,108
401.0,121
402.0,123
403.0,136
404.0,124
405.0,132
406.0,151
407.0,140
408.0,176
409.0,186
410.0,204
411.0,251
412.0,228
413.0,174
414.0,153
415.0,127
416.0,108
417.0,116
418.0,117
419.0,116
420.0,115
421.0,152
422.0,139
423.0,167
424.0,192
425.0,201
426.0,213
427.0,219
428.0,237
429.0,222
430.0,224
431.0,210
432.0,185
433.0,208
434.0,205
435.0,222
436.0,223
437.0,225
438.0,214
439.0,212
440.0,231
441.0,232
442.0,222
443.0,205
444.0,211
445.0,212
446.0,204
447.0,220
448.0,227
449.0,220
450.0,230
451.0,236
452.0,243
453.0,202
454.0,212
455.0,231
456.0,228
457.0,235
458.0,229
459.0,222
460.0,214
461.0,199
462.0,207
463.0,232
464.0,219
465.0,203
466.0,205
467.0,222
468.0,210
469.0,199
470.0,203
471.0,191
472.0,198
473.0,190
474.0,205
475.0,214
476.0,213
477.0,208
478.0,207
479.0,213
480.0,233
481.0,243
482.0,228
483.0,230
484.0,221
485.0,218
486.0,216
487.0,204
488.0,216
489.0,209
490.0,218
491.0,215
492.0,231
493.0,230
494.0,232
495.0,236
496.0,218
497.0,211
498.0,214
499.0,217
500.0,201
501.0,190
502.0,190
503.0,181
504.0,144
505.0,167
506.0,172
507.0,172
508.0,172
509.0,155
510.0,153
511.0,159
512.0,160
513.0,157
514.0,152
515.0,157
516.0,169
517.0,167
518.0,153
519.0,162
520.0,168
521.0,165
522.0,161
523.0,160
524.0,161
525.0,157
526.0,158
527.0,156
528.0,151
529.0,156
530.0,156
531.0,162
532.0,175
533.0,181
534.0,186
535.0,182
536.0,188
537.0,195
538.0,196
539.0,192
540.0,196
541.0,197
542.0,206
543.0,211
544.0,228
545.0,231
546.0,219
547.0,219
548.0,201
549.0,217
550.0,220
551.0,223
552.0,227
553.0,233
554.0,231
555.0,220
556.0,235
557.0,231
558.0,223
559.0,222
560.0,226
561.0,236
562.0,233
563.0,229
564.0,216
565.0,194
566.0,206
567.0,205
568.0,212
569.0,206
570.0,197
571.0,209
