t,power
0.0,0
1.0,135
2.0,135
3.0,135
4.0,185
5.0,187
6.0,187
7.0,190
8.0,191
9.0,191
10.0,191
11.0,188
12.0,188
13.0,188
14.0,195
15.0,195
16.0,195
17.0,192
18.0,191
19.0,191
20.0,191
21.0,185
22.0,185
23.0,185
24.0,191
25.0,198
26.0,198
27.0,198
28.0,191
29.0,191
30.0,191
31.0,179
32.0,179
33.0,179
34.0,179
35.0,180
36.0,180
37.0,186
38.0,192
39.0,192
40.0,190
41.0,188
42.0,188
43.0,188
44.0,199
45.0,199
46.0,199
47.0,188
48.0,172
49.0,172
50.0,174
51.0,200
52.0,200
53.0,200
54.0,188
55.0,187
56.0,187
57.0,190
58.0,197
59.0,197
60.0,194
61.0,190
62.0,190
63.0,190
64.0,186
65.0,186
66.0,186
67.0,185
68.0,185
69.0,185
70.0,185
71.0,184
72.0,184
73.0,190
74.0,196
75.0,196
76.0,194
77.0,192
78.0,192
79.0,191
80.0,185
81.0,185
82.0,185
83.0,187
84.0,187
85.0,187
86.0,186
87.0,185
88.0,185
89.0,186
90.0,189
91.0,189
92.0,189
93.0,185
94.0,185
95.0,185
96.0,190
97.0,195
98.0,195
99.0,194
100.0,187
101.0,187
102.0,187
103.0,184
104.0,184
105.0,184
106.0,187
107.0,192
108.0,192
109.0,187
110.0,183
111.0,183
112.0,183
113.0,185
114.0,185
115.0,185
116.0,197
117.0,197
118.0,197
119.0,194
120.0,189
121.0,189
122.0,188
123.0,181
124.0,181
125.0,181
126.0,180
127.0,180
128.0,180
129.0,186
130.0,198
131.0,198
132.0,196
133.0,193
134.0,193
135.0,189
136.0,186
137.0,186
138.0,186
139.0,186
140.0,186
141.0,186
142.0,184
143.0,184
144.0,184
145.0,186
146.0,188
147.0,188
148.0,192
149.0,194
150.0,194
151.0,192
152.0,186
153.0,186
154.0,186
155.0,184
156.0,184
157.0,184
158.0,187
159.0,189
160.0,189
161.0,189
162.0,190
163.0,190
164.0,190
165.0,184
166.0,184
167.0,184
168.0,190
169.0,196
170.0,196
171.0,190
172.0,186
173.0,186
174.0,184
175.0,180
176.0,180
177.0,181
178.0,195
179.0,195
180.0,195
181.0,192
182.0,190
183.0,190
184.0,189
185.0,186
186.0,186
187.0,186
188.0,185
189.0,185
190.0,185
191.0,186
192.0,187
193.0,187
194.0,191
195.0,197
196.0,197
197.0,197
198.0,193
199.0,193
200.0,193
201.0,187
202.0,187
203.0,187
204.0,184
205.0,180
206.0,180
207.0,182
208.0,184
209.0,184
210.0,184
211.0,194
212.0,194
213.0,194
214.0,193
215.0,193
216.0,193
217.0,188
218.0,180
219.0,180
220.0,181
221.0,183
222.0,183
223.0,183
224.0,194
225.0,194
226.0,194
227.0,188
228.0,179
229.0,179
230.0,179
231.0,186
232.0,188
233.0,188
234.0,189
235.0,189
236.0,189
237.0,189
238.0,188
239.0,188
240.0,191
241.0,195
242.0,195
243.0,195
244.0,189
245.0,188
246.0,188
247.0,187
248.0,185
249.0,185
250.0,186
251.0,187
252.0,187
253.0,187
254.0,189
255.0,190
256.0,190
257.0,186
258.0,186
259.0,186
260.0,186
261.0,187
262.0,187
263.0,187
264.0,188
265.0,188
266.0,188
267.0,192
268.0,193
269.0,193
270.0,190
271.0,190
272.0,190
273.0,189
274.0,188
275.0,188
276.0,188
277.0,188
278.0,188
279.0,188
280.0,186
281.0,186
282.0,186
283.0,188
284.0,190
285.0,190
286.0,189
287.0,188
288.0,188
289.0,188
290.0,191
291.0,193
292.0,193
293.0,191
294.0,183
295.0,183
296.0,183
297.0,185
298.0,185
299.0,185
300.0,190
301.0,193
302.0,193
303.0,186
304.0,184
305.0,184
306.0,185
307.0,186
308.0,186
309.0,190
310.0,199
311.0,199
312.0,199
313.0,192
314.0,187
315.0,187
316.0,187
317.0,187
318.0,187
319.0,187
320.0,189
321.0,190
322.0,190
323.0,192
324.0,193
325.0,193
326.0,193
327.0,190
328.0,190
329.0,190
330.0,187
331.0,185
332.0,185
333.0,187
334.0,188
335.0,188
336.0,188
337.0,190
338.0,190
339.0,190
340.0,183
341.0,179
342.0,179
343.0,185
344.0,191
345.0,191
346.0,191
347.0,190
348.0,190
349.0,190
350.0,194
351.0,194
352.0,194
353.0,192
354.0,191
355.0,191
356.0,185
357.0,180
358.0,180
359.0,180
360.0,188
361.0,189
362.0,189
363.0,188
364.0,187
365.0,187
366.0,185
367.0,182
